"","stateList","Freq"
"1","alabama",18
"2","arizona",31
"3","arkansas",21
"4","california",238
"5","colorado",31
"6","connecticut",31
"7","delaware",8
"8","district of columbia",62
"9","florida",106
"10","georgia",102
"11","idaho",7
"12","illinois",91
"13","indiana",50
"14","iowa",22
"15","kansas",164
"16","kentucky",26
"17","louisiana",36
"18","maine",9
"19","maryland",43
"20","massachusetts",58
"21","michigan",61
"22","minnesota",29
"23","mississippi",14
"24","missouri",45
"25","montana",5
"26","nebraska",11
"27","nevada",19
"28","new hampshire",9
"29","new jersey",50
"30","new mexico",5
"31","new york",93
"32","north carolina",60
"33","north dakota",1
"34","ohio",53
"35","oklahoma",36
"36","oregon",25
"37","pennsylvania",92
"38","rhode island",3
"39","south carolina",21
"40","south dakota",10
"41","tennessee",44
"42","texas",201
"43","utah",10
"44","vermont",5
"45","virginia",53
"46","washington",38
"47","west virginia",4
"48","wisconsin",26
"49","wyoming",5
